,N,Role,Programming language,Experience ,Experience on current job,Salary/month,Изменение.зарплаты.за.12.месяцев,City,Company size,Company type,Gender,Age,Education,Still student,English ,Date,User.Agent,exp,current_job_exp,salary,avg
12,13,Software Engineer,Python,1,loss then 3 month,800,200,Berlin,up to 50 employees,Outsourcing,male,26,Higher education,False,A1,12/06/2017 13:05:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,800,1799.07
68,69,Software Engineer,Python,1.5,0.5,900,900,Berlin,up to 10 employees,start up,male,21,Unfinished Higher education,True,B2,12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,900,1799.07
87,88,Junior Software Engineer,Python,0.5,0.5,600,0,Berlin,up to 10 employees,Outsourcing,male,19,Unfinished Higher education,True,B2,12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,560.8412698412699
114,115,Junior Software Engineer,Python,1.5,0.5,685,250,Berlin,up to 1000 employees,Outsourcing,male,21,Unfinished Higher education,False,B1,12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.5,685,560.8412698412699
143,144,Junior Software Engineer,Python,1,1,750,250,Berlin,up to 10 employees,Outsourcing,male,21,Unfinished Higher education,True,B2,12/06/2017 13:19:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,750,560.8412698412699
153,154,Software Engineer,Python,2,1,1200,0,Paris,up to 50 employees,Outstaffing,male,34,Кандидат,False,С1,12/06/2017 13:20:15,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.0,1200,1799.07
162,163,Junior Software Engineer,Python,0.5,0.5,500,0,London,up to 200 employees,Outsourcing,male,20,Secondary education,True,A1,12/06/2017 13:21:08,"Mozilla/5.0 (Linux; Android 7.1.2; LG-D802 Build/N2G47E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,500,560.8412698412699
171,172,Junior Software Engineer,Python,0.25,0.25,800,0,Berlin,up to 50 employees,product,male,25,Higher education,False,С1,12/06/2017 13:22:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,800,560.8412698412699
217,218,Software Engineer,Python,8,2,2900,150,Rome,up to 1000 employees,Outsourcing,male,26,Higher education,False,B2,12/06/2017 13:31:50,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,2.0,2900,1799.07
283,284,Junior Software Engineer,Python,1,loss then 3 month,400,400,New York ,up to 10 employees,start up,male,23,Unfinished Higher education,False,B1,12/06/2017 13:43:33,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,400,560.8412698412699
302,303,Senior Software Engineer,Python,10+ ,0.5,3500,-300,Berlin,up to 200 employees,product,male,30,Higher education,False,B2,12/06/2017 13:46:24,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,3500,3387.0967741935483
332,333,Junior Software Engineer,Python,1,1,600,300,Rome,up to 50 employees,Outsourcing,male,19,Unfinished Higher education,True,A1,12/06/2017 13:51:25,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,600,560.8412698412699
347,348,Junior Software Engineer,Python,loss then 3 month,loss then 3 month,200,0,Berlin,up to 10 employees,Outsourcing,male,22,Unfinished Higher education,True,A1,12/06/2017 13:53:40,"Mozilla/5.0 (Linux; Android 5.1.1; Mi-4c Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.0,0.0,200,560.8412698412699
